ID,HP_Power_kW,Heated_Floor_Area,Building_Year,Cluster_Building_Age,Cluster_HP_Size,Cluster_Building_Area,Cluster_HP_Type
nEOBbWoFPj6tJoS0AuCOw,2.0,117.3,2007.0,young,small,small,air source
vl0HC3lotcUtme89UBZ6K,2.0,117.3,2007.0,young,small,small,air source
I_lZYarsJuwXptPeZf69x,2.0,117.3,2007.0,young,small,small,air source
SQXvg0wsGwU8QtwpsJF2H,5.0,241.5,2001.0,young,medium,medium,air source
X2MZeXcvMKYUsbAnvIeO6,1.3,203.55,2007.0,young,small,medium,air source
Kr2DryfiEuoDU4rGqVjns,,195.5,2008.0,young,unknown,medium,air source
G4zP8hiIKJwDnhTXIyKoo,,195.5,2008.0,young,unknown,medium,air source
ZaTIZ0bIqhMl,,,,unknown,unknown,unknown,unknown
BzUaYf5BNNQ1i7QO_sZBH,,302.45,2010.0,young,unknown,big,unknown
5C_LEIMcQncRUOnlezcgw,1.7,253.0,1888.0,medium,small,medium,ground source
A0aBOVafK0gmzUpsBJy6a,,195.5,1931.0,medium,unknown,medium,air source
M78x6MnH8eEb9RkQ3uQ2h,6.0,368.0,2004.0,young,medium,big,unknown
lO7J88KpR5ksZRc6Qjps7,5.0,,,unknown,medium,unknown,unknown
Hu0qmt7qwoYz3NCeA17j4,5.0,,,unknown,medium,unknown,unknown
8SL15wTcaX6Ovg_3Ngcdg,3.0,240.35,2005.0,young,small,medium,unknown
K3oZPzRhNRYl,,,,unknown,unknown,unknown,unknown
kiZpLKJsUT2nIb09eZE0l,3.0,267.95,2007.0,young,small,medium,unknown
sd6hHomDdmc9BEiU5jlfz,,158.7,1955.0,medium,unknown,small,air source
OV0OZSEpOUUQN6OzXS3ua,4.1,345.0,1998.0,young,small,big,air source
E5RSfTqXn1Qgzcgo2uM,5.0,241.5,1929.0,medium,medium,medium,air source
XCTAHnRK9Bk9NQR31SV4r,,120.75,1930.0,medium,unknown,small,air source
dfksSbmbKscl,,,,unknown,unknown,unknown,unknown
baTF_VC8hEcE1Ski_ScMY,,227.7,2003.0,young,unknown,medium,air source
jvG8uP_kTrc0o4Fzmpr2q,3.88,197.8,1872.0,old,small,medium,air source
5HoTZn2CZnoldWDnovute,2.0,202.4,2004.0,young,small,medium,ground source
bB_honQjugQL8OvfRKyGY,,142.6,1774.0,old,unknown,small,air source
dkYg1JIUIcUl,,,,unknown,unknown,unknown,unknown
LnTJBHdXllcl,,,,unknown,unknown,unknown,unknown
2ExFLPmiUUkl,,,,unknown,unknown,unknown,unknown
nR_l2v1xWFYl,,,,unknown,unknown,unknown,unknown
AJDPjOjNGEoDnsITeBwxj,4.8,165.6,2010.0,young,medium,small,air source
ApahgADW6VYl,,,,unknown,unknown,unknown,unknown
_SA7qy_X5roDUXXpX_gH8,,276.0,1990.0,young,unknown,big,air source
M1_J4tQ4HGE3mnlk5zV24,2.7,218.5,1998.0,young,small,medium,air source
gymVuKbh486l,,,,unknown,unknown,unknown,unknown
5Y7623WMdxUl,,,,unknown,unknown,unknown,unknown
juVDdD7yWQYl,,,,unknown,unknown,unknown,unknown
hV2M8SEtbdIl,,,,unknown,unknown,unknown,unknown
YKAz6OGud_IxutctBkQrR,,287.5,1999.0,young,unknown,big,ground source
9b5AI2frwbQl,,,,unknown,unknown,unknown,unknown
DDwyCFvEbQMW5nXlGg_87,,207.0,1936.0,medium,unknown,medium,air source
a9Xr0PIvkxQ5TQOVNzPDl,,212.75,1999.0,young,unknown,medium,air source
x5YS_q2LsD6l,,,,unknown,unknown,unknown,unknown
Fcp2jMUYjvIshwVMFrwGz,6.0,,1999.0,young,medium,unknown,air source
vdoJqT1NjHE8vcGsNSfME,3.0,368.0,2004.0,young,small,big,ground source
f74i4Mc8cBcbpAiEh0iPo,2.2,190.9,1982.0,young,small,medium,air source
M__L4gPZhEYzmGm9UxAaf,5.1,205.0,2002.0,young,medium,medium,air source
09WRxJL9k7ol,,,,unknown,unknown,unknown,unknown
GzDFAHBvKAoA5UJ_xSGNM,,209.3,2004.0,young,unknown,medium,air source
